지역,기온,습도
강릉,-1.8,27
강진군,0.1,59
강화,-7.3,40
거제,-0.1,46
거창,-2.0,45
경주시,-0.8,30
고산,4.1,68
고창,-2.6,68
고창군,-2.5,67
고흥,2.1,49
광양시,0.2,50
광주,-0.4,60
구미,-1.6,36
군산,-3.1,52
금산,-3.5,55
김해시,-0.6,39
남원,-1.5,54
남해,-0.9,54
대관령,-10.4,39
대구,-1.5,36
대전,-2.7,45
동두천,-7.0,33
동해,0.1,18
목포,-1.6,62
문경,-2.8,40
밀양,0.3,32
백령도,-6.1,65
보령,-3.7,50
보성군,1.5,55
보은,-4.0,45
봉화,-2.5,22
부산,0.0,30
부안,-2.2,57
부여,-3.6,47
북강릉,-1.2,24
북부산,0.7,33
북창원,0.2,41
북춘천,-8.4,49
산청,-0.3,45
상주,-2.3,42
서귀포,6.2,54
서산,-5.7,55
서울,-6.2,43
서청주,-6.0,38
성산,4.6,62
세종,-4.0,49
속초,-2.9,18
수원,-4.9,40
순창군,-1.5,60
순천,-0.2,54
안동,-4.6,45
양산시,2.3,30
양평,-6.2,48
여수,-0.6,58
영광군,-2.5,65
영덕,-0.7,27
영월,-5.2,37
영주,-4.5,41
영천,-1.3,37
완도,1.3,54
울릉도,1.5,55
울산,-0.1,32
울진,-0.1,20
원주,-6.0,46
의령군,0.6,40
의성,-2.5,41
이천,-6.9,55
인제,-7.5,43
인천,-6.4,45
임실,-2.1,52
장수,-4.1,55
장흥,1.0,56
전주,-1.7,55
정선군,-7.3,34
정읍,-2.8,63
제주,4.8,59
제천,-7.7,47
진도군,-0.7,61
진주,-0.9,47
창원,-0.7,37
천안,-5.8,47
철원,-11.6,69
청송군,-3.6,37
청주,-5.4,37
추풍령,-4.7,48
춘천,-7.5,50
충주,-7.2,57
태백,-6.6,28
통영,1.2,38
파주,-8.0,47
포항,-0.3,30
함양군,0.2,38
합천,-0.8,41
해남,0.5,58
홍성,-6.3,44
홍천,-7.9,51
흑산도,0.0,80
