순위,제목,가수,앨범명
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night
2,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)'
3,Drama,aespa,Drama - The 4th Mini Album
4,To. X,태연 (TAEYEON),To. X - The 5th Mini Album
5,Baddie,IVE (아이브),I'VE MINE
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
7,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
8,헤어지자 말해요,박재정,1집 Alone
9,인사,범진,인사
10,Do or Die,임영웅,Do or Die
11,모래 알갱이,임영웅,모래 알갱이
12,Love Lee,AKMU (악뮤),Love Lee
13,우리들의 블루스,임영웅,IM HERO
14,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
15,다시 만날 수 있을까,임영웅,IM HERO
16,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me]
17,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
18,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
19,후라이의 꿈,AKMU (악뮤),Love Lee
20,무지개,임영웅,IM HERO
21,London Boy,임영웅,Polaroid
22,Standing Next to You,정국,GOLDEN
23,Polaroid,임영웅,Polaroid
24,아버지,임영웅,IM HERO
25,인생찬가,임영웅,IM HERO
26,I AM,IVE (아이브),I've IVE
27,비의 랩소디,임재현,비의 랩소디
28,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition)
29,A bientot,임영웅,IM HERO
30,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album
31,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
32,Santa Tell Me,Ariana Grande,Santa Tell Me
33,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
34,Ditto,NewJeans,NewJeans 'OMG'
35,크리스마스니까,성시경,Jelly Christmas 2012 HEART PROJECT
36,ETA,박효신,NewJeans 2nd EP 'Get Up'
37,연애편지,이석훈,IM HERO
38,Either Way,서인국,I'VE MINE
39,"잘 지내자, 우리 (여름날 우리 X 로이킴)",VIXX (빅스),"잘 지내자, 우리 (여름날 우리 X 로이킴)"
40,너의 모든 순간,NewJeans,별에서 온 그대 OST Part.7
41,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),임영웅,Real
42,"Smoke (Prod. Dynamicduo, Padi)",IVE (아이브),스트릿 우먼 파이터2(SWF2) 계급미션
43,에피소드,로이킴,에피소드
44,Get A Guitar,성시경,Get A Guitar
45,Hype Boy,아이유,NewJeans 1st EP 'New Jeans'
46,Last Christmas,다이나믹 듀오,Christmas Kisses
47,퀸카 (Queencard),이영지,I feel
48,Chill Kill,이무진,Chill Kill - The 3rd Album
49,Merry PLLIstmas,RIIZE,Merry PLLIstmas
50,Fast Forward,NewJeans,GAME PLAN
