Rank,Song,Artist
1,Perfect Night,LE SSERAFIM (르세라핌)
2,첫 눈,EXO
3,Drama,aespa
4,To. X,태연 (TAEYEON)
5,Baddie,IVE (아이브)
6,사랑은 늘 도망가,임영웅
7,Seven (feat. Latto) - Clean Ver.,정국
8,헤어지자 말해요,박재정
9,인사,범진
10,Do or Die,임영웅
11,모래 알갱이,임영웅
12,Love Lee,AKMU (악뮤)
13,우리들의 블루스,임영웅
14,All I Want for Christmas Is You,Mariah Carey
15,다시 만날 수 있을까,임영웅
16,You & Me,제니 (JENNIE)
17,이제 나만 믿어요,임영웅
18,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
19,후라이의 꿈,AKMU (악뮤)
20,무지개,임영웅
21,London Boy,임영웅
22,Standing Next to You,정국
23,Polaroid,임영웅
24,아버지,임영웅
25,인생찬가,임영웅
26,I AM,IVE (아이브)
27,비의 랩소디,임재현
28,Snowman,Sia
29,A bientot,임영웅
30,별 떨어진다 (I Do),디오 (D.O.)
31,Super Shy,NewJeans
32,Santa Tell Me,Ariana Grande
33,사막에서 꽃을 피우듯,우디 (Woody)
34,Ditto,NewJeans
35,크리스마스니까,성시경
36,박효신,이석훈
37,서인국,VIXX (빅스)
38,ETA,NewJeans
39,연애편지,임영웅
40,Either Way,IVE (아이브)
41,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
42,너의 모든 순간,성시경
43,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
44,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
45,이영지,에피소드
46,이무진,Get A Guitar
47,RIIZE,Hype Boy
48,NewJeans,Last Christmas
49,Ariana Grande,퀸카 (Queencard)
50,(여자)아이들,Chill Kill
51,Red Velvet (레드벨벳),Merry PLLIstmas
52,PLAVE,Fast Forward
53,전소미,Off The Record
54,IVE (아이브),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
55,AKMU (악뮤),음악의 신
56,세븐틴 (SEVENTEEN),사랑하지 않아서 그랬어
57,임한별,잠시라도 우리
58,성시경,나얼
59,사랑인가 봐,멜로망스
60,Spicy,aespa
61,Discord,QWER
62,사건의 지평선,윤하 (YOUNHA)
63,GODS,NewJeans
64,League of Legends,OMG
65,NewJeans,Kitsch
66,IVE (아이브),"이브, 프시케 그리고 푸른 수염의 아내"
67,LE SSERAFIM (르세라핌),Steal The Show (From “엘리멘탈”)
68,Lauv,Dynamite
69,방탄소년단,심(心)
70,DK(디셈버),취중고백
71,김민석,봄날
72,방탄소년단,Bubble
73,STAYC(스테이씨),I Don't Think That I Like Her
74,Charlie Puth,사랑할 수밖에
75,볼빨간사춘기,물론
76,허각,LOVE DIVE
77,IVE (아이브),여섯 번째 여름
78,PLAVE,주저하는 연인들을 위해
79,잔나비,I Love My Body
80,화사 (HWASA),After LIKE
81,IVE (아이브),3D (feat. Jack Harlow)
82,정국,Jack Harlow
83,눈이 오잖아(Feat.헤이즈),이무진
84,손오공,세븐틴 (SEVENTEEN)
85,다정히 내 이름을 부르면,경서예지
86,전건호,Dangerously
87,Charlie Puth,해요 (2022)
88,#안녕,Yes or No
89,정국,Butter
90,방탄소년단,파이팅 해야지 (Feat. 이영지)
91,부석순 (SEVENTEEN),그중에 그대를 만나
92,김호중,Attention
93,NewJeans,나에게 그대만이
94,탑현,입술 (Feat. 10CM)
95,헤이즈 (Heize),UNFORGIVEN (feat. Nile Rodgers)
96,LE SSERAFIM (르세라핌),"밤, 바다"
97,최유리,"그대가 있는 곳, 언제 어디든"
98,로이킴,Hate You
99,정국,사랑..그게 뭔데
100,지아,Dear. PLLI
