순위,제목,가수,앨범,좋아요 수
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,"84,149"
2,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',"273,651"
3,Drama,aespa,Drama - The 4th Mini Album,"60,474"
4,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,"58,743"
5,Baddie,IVE (아이브),I'VE MINE,"57,788"
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"207,702"
7,헤어지자 말해요,박재정,1집 Alone,"152,626"
8,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,"199,206"
9,비의 랩소디,임재현,비의 랩소디,"15,251"
10,인사,범진,인사,"72,144"
11,Do or Die,임영웅,Do or Die,"37,438"
12,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],"58,366"
13,Love Lee,AKMU (악뮤),Love Lee,"113,405"
14,모래 알갱이,임영웅,모래 알갱이,"55,910"
15,우리들의 블루스,임영웅,IM HERO,"101,617"
16,다시 만날 수 있을까,임영웅,IM HERO,"82,982"
17,I AM,IVE (아이브),I've IVE,"205,786"
18,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"49,664"
19,Standing Next to You,정국,GOLDEN,"56,943"
20,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,"172,919"
21,무지개,임영웅,IM HERO,"71,382"
22,에피소드,이무진,에피소드,"18,983"
23,후라이의 꿈,AKMU (악뮤),Love Lee,"114,540"
24,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',"156,707"
25,London Boy,임영웅,Polaroid,"58,846"
26,아버지,임영웅,IM HERO,"58,017"
27,Polaroid,임영웅,Polaroid,"53,064"
28,Ditto,NewJeans,NewJeans 'OMG',"277,216"
29,인생찬가,임영웅,IM HERO,"53,448"
30,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,"74,473"
31,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"284,024"
32,ETA,NewJeans,NewJeans 2nd EP 'Get Up',"114,484"
33,A bientot,임영웅,IM HERO,"54,581"
34,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',"283,898"
